,SRR7457551,SRR7457552,SRR7457553,SRR7457554,SRR7457555,SRR7457556,SRR7457557,SRR7457558,SRR7457559
Tax1bp3,219,162,168,158,204,208,189,143,221
Ctns,819,767,494,366,497,625,551,437,651
Shpk,89,93,59,49,48,93,60,44,84
Trpv1,1,2,0,0,0,0,0,0,0
Trpv3,0,0,0,0,0,0,0,0,0
Aspa,0,1,1,3,4,1,0,0,0
Spata22,0,0,0,0,0,0,0,0,0
Olfr20,0,0,0,0,0,0,0,0,0
Olfr376,0,0,0,0,0,0,0,0,0
Olfr1,0,0,0,0,0,0,0,0,0
Olfr75-ps1,0,0,0,0,0,0,0,0,0
Olfr378,0,0,0,0,0,0,0,0,0
Olfr380,0,0,0,0,0,0,0,0,0
Olfr381,0,0,0,0,0,0,0,0,0
Olfr382,0,0,0,0,0,0,0,0,0
Olfr385,0,0,0,0,0,0,0,0,0
Olfr384,0,0,0,0,0,0,0,0,0
Zfp735,0,0,0,0,0,0,0,0,0
Olfr389,0,0,0,0,0,0,0,0,0
Olfr390,0,0,0,0,0,0,0,0,0
Olfr391,0,0,0,0,0,0,0,0,0
Olfr392,0,0,0,0,0,0,0,0,0
Olfr393,0,0,0,0,0,0,0,0,0
Olfr394,0,0,0,0,0,0,0,0,0
Olfr395,0,0,0,0,0,0,0,0,0
Olfr23,0,0,0,0,0,0,0,0,0
Olfr397,0,0,0,0,0,0,0,0,0
Olfr398,0,0,0,0,0,0,0,0,0
Olfr139,0,0,0,0,0,0,0,0,0
Olfr399,0,0,0,0,0,0,0,0,0
Zfp616,0,0,0,0,0,0,0,0,0
Olfr401,0,0,0,0,0,0,0,0,0
Olfr402,0,0,0,0,0,0,0,0,0
Olfr403,0,0,0,0,0,0,0,0,0
Olfr43,0,0,0,0,0,0,0,0,0
Olfr406,0,0,0,0,0,0,0,0,0
Olfr59,0,0,0,0,0,0,0,0,0
Olfr410,0,0,0,0,0,0,0,0,0
Olfr411,0,0,0,0,0,0,0,0,0
Olfr412,0,0,0,0,0,0,0,0,0
Rap1gap2,6,7,18,6,13,16,10,11,5
Ccdc92b,9,2,0,9,7,7,5,3,9
Cluh,2886,2428,2511,1772,2538,3315,1570,1241,1850
Pafah1b1,2603,2492,1983,1693,2237,2292,1547,1294,1742
Mettl16,358,396,190,127,203,213,166,157,204
Mnt,718,579,391,544,803,554,508,404,623
Sgsm2,272,214,182,156,226,250,177,130,188
Mir6926,0,0,0,1,0,0,0,0,0
Tsr1,731,619,879,431,650,1015,388,258,408
Srr,510,421,526,319,472,625,290,200,306
Snord91a,4,3,3,3,2,6,1,0,1
Smg6,354,306,262,235,312,373,244,185,335
Hic1,3,5,4,1,5,3,6,5,5
Mir212,0,0,0,0,0,0,0,0,0
Mir132,0,0,0,0,0,1,0,0,0
Ovca2,159,112,84,73,97,66,105,83,115
Dph1,95,96,85,70,89,127,75,47,57
Rtn4rl1,1,2,4,5,1,1,3,4,8
Rpa1,2211,2241,605,470,702,632,639,499,724
Smyd4,183,210,52,52,89,64,69,54,103
Serpinf1,3,3,3,0,5,0,1,2,1
Serpinf2,4,4,1,2,6,8,8,3,10
Wdr81,1808,1482,1139,858,1336,1495,1106,900,1537
Mir22hg,168,146,370,453,718,524,169,150,190
Mir22,0,0,0,0,0,0,0,0,0
Tlcd2,32,21,23,32,40,28,12,16,18
Prpf8,6197,5541,3898,3597,4901,4763,3326,2540,3820
Rilp,57,45,35,36,42,41,65,53,75
Scarf1,37,35,35,16,38,42,68,54,77
Slc43a2,2197,2017,1808,1098,1636,2159,1062,780,1247
Mir3971,0,1,0,1,2,0,0,0,0
Pitpna,6726,6203,6313,4372,6969,7367,4570,3362,5022
4931413K12Rik,18,18,27,60,75,48,40,18,31
Gm12338,14,10,33,35,69,51,15,12,25
Inpp5k,492,362,525,493,954,637,472,337,527
Myo1c,2094,1890,1936,1529,2281,2337,1374,1032,1660
Crk,1719,1851,1557,1050,1433,1972,1325,1062,1425
Ywhae,5937,5822,3724,2931,3902,4195,3104,2485,3416
Doc2b,0,0,1,1,0,0,0,1,1
Gm12339,0,0,0,0,0,0,0,0,0
Rph3al,0,0,1,0,3,0,2,0,0
1700016K19Rik,0,0,0,0,0,0,0,0,0
Rflnb,9,11,10,4,8,16,8,10,20
Vps53,624,652,384,317,428,458,342,267,364
Tlcd3a,95,110,48,29,24,44,41,22,53
Gemin4,200,224,124,65,93,138,93,62,79
Dbil5,4,2,1,1,1,0,4,2,1
Glod4,665,614,382,322,412,447,372,305,418
Mrm3,72,57,68,31,27,54,26,22,41
Nxn,47,47,22,14,13,20,16,16,21
Timm22,286,238,190,119,169,222,112,92,117
Abr,5621,5084,4218,3587,4501,4443,3975,3225,5003
Bhlha9,0,0,1,2,0,0,1,1,2
Trarg1,1,2,3,4,2,8,0,0,2
Gosr1,768,697,701,555,824,935,489,394,550
Cpd,3973,4078,1760,1523,2027,2146,1290,970,1434
Tmigd1,1,4,0,0,0,0,0,0,0
Blmh,700,654,353,259,344,407,302,251,358
Slc6a4,741,664,1329,1390,1974,1771,1341,1112,1514
Nsrp1,494,472,446,321,460,468,344,312,395
Mir423,0,0,0,0,0,0,0,0,0
Efcab5,5,4,1,5,3,3,0,4,1
Ssh2,1671,1521,776,1747,2294,1221,1714,1549,2034
Coro6,678,330,942,830,1735,1403,1061,843,1370
Mir12181,11,6,36,26,60,41,42,18,45
Ankrd13b,299,251,361,258,456,469,357,298,476
Git1,1122,927,808,633,964,982,701,559,888
Trp53i13,182,180,141,124,178,179,151,94,183
Abhd15,507,374,161,150,174,285,205,187,299
Taok1,1931,1632,1628,1395,2439,2075,1446,1245,1705
Nufip2,2196,1942,1539,1335,1674,1884,1683,1303,2090
Cryba1,2,0,1,1,1,0,0,0,1
Myo18a,788,719,485,555,718,636,617,459,743
Pipox,0,0,0,0,0,0,0,0,0
Gm29932,0,0,0,0,0,0,0,0,0
Gm11190,0,0,0,0,0,0,0,0,0
Sez6,0,0,0,1,0,0,0,1,0
Phf12,901,747,603,526,726,801,543,375,691
Dhrs13os,103,71,53,43,56,70,58,39,61
Dhrs13,112,109,66,32,27,63,40,33,32
Flot2,2528,2611,1331,1011,1478,1607,1113,860,1312
Mir144,0,0,0,0,0,0,0,0,0
Mir451a,0,0,0,0,0,0,0,0,1
Mir451b,0,0,1,0,0,0,0,0,0
Eral1,288,258,195,141,191,200,155,129,220
Fam222b,247,246,182,125,157,239,145,92,173
Traf4,68,48,26,39,48,30,48,26,60
Nek8,79,54,25,40,52,25,48,34,58
Tlcd1,38,18,10,11,15,20,21,14,17
Mir7653,0,0,0,0,0,0,0,0,0
Rpl23a,1232,1144,909,763,1103,1042,833,778,926
Snord42a,1,1,1,0,5,0,0,0,6
Snord4a,5,2,4,7,2,2,0,1,6
Snord42b,0,0,1,2,1,1,0,0,0
Rab34,22,20,18,19,28,18,11,19,18
Proca1,2,4,5,8,8,5,3,4,4
Supt6,1840,1638,1876,1390,2097,2196,1163,896,1437
Sdf2,440,350,244,343,401,315,362,322,406
2610507B11Rik,3007,2900,1857,1468,2048,2310,1663,1182,1927
Rskr,2,4,6,4,3,4,5,0,2
Gm3948,1,1,1,0,0,2,2,0,0
Spag5,1065,913,103,118,133,111,126,94,191
Aldoc,971,1212,461,383,531,440,335,379,498
Pigs,1585,1419,1158,1042,1547,1483,1015,834,1257
Unc119,2157,1573,2098,1631,2343,2548,1753,1529,2063
Foxn1,0,0,0,0,0,0,0,0,0
Slc13a2os,0,0,0,0,0,0,0,0,0
Slc13a2,20,5,10,7,8,8,9,8,10
Slc46a1,31,17,16,18,39,21,9,10,12
Sarm1,1,0,1,1,0,0,0,3,0
Vtn,0,0,0,1,0,0,0,2,0
Sebox,0,0,1,1,1,0,0,1,0
Tmem199,277,253,195,165,154,225,158,124,183
Poldip2,549,494,286,229,325,309,229,158,218
Tnfaip1,740,704,597,545,756,741,452,332,528
Ift20,262,193,167,148,218,196,187,129,232
Tmem97,289,285,135,100,135,173,81,83,124
Nlk,304,335,168,195,214,203,201,178,267
Ccnq,108,112,110,88,124,113,85,68,104
Lyrm9,73,61,38,28,35,38,73,40,61
Nos2,0,0,1,0,0,0,0,0,0
Lgals9,949,967,480,451,577,658,396,368,535
Ksr1,266,224,398,249,444,586,203,147,257
Gm11201,20,19,34,22,40,77,36,18,37
Wsb1,1537,1194,1003,961,1260,1275,1199,1019,1369
Nf1,837,683,682,586,828,763,594,438,741
AU040972,5,1,5,2,4,2,1,2,3
Omg,8,9,14,4,18,21,10,9,12
Evi2b,0,0,0,0,0,0,0,0,0
Evi2,0,0,0,0,0,0,0,0,0
Evi2a,494,381,403,509,621,574,449,402,575
Rab11fip4,26,14,20,19,21,31,22,14,15
Rab11fip4os1,0,2,0,1,0,2,0,2,1
Rab11fip4os2,0,0,0,0,0,0,0,0,0
Mir193a,0,0,0,0,0,0,0,0,0
Mir365-2,3,0,0,0,2,1,0,0,0
Utp6,1111,1089,622,490,611,762,571,472,675
Suz12,1408,1299,688,619,848,793,650,558,762
Crlf3,699,642,487,401,448,566,548,466,603
Atad5,570,569,122,77,132,114,145,99,130
Tefm,70,59,61,35,33,66,42,27,48
Adap2,745,568,824,418,768,984,324,253,389
Rnf135,169,130,108,56,88,134,95,65,122
Rhot1,1025,891,683,620,706,784,609,487,745
Rhbdl3,8,0,20,9,9,14,7,4,4
5730455P16Rik,227,191,158,101,215,218,102,85,129
Zfp207,1812,1608,813,938,952,886,1195,926,1305
Psmd11,903,903,565,410,589,602,398,319,518
Cdk5r1,18,21,5,6,7,22,3,12,19
Myo1d,28,7,16,38,26,31,17,12,12
C030013C21Rik,0,0,0,0,0,1,0,0,0
Tmem98,0,0,3,2,2,1,0,2,0
4930507D10Rik,0,0,0,0,0,0,0,0,0
Spaca3,0,0,0,0,0,0,0,0,0
Asic2,0,0,0,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0,0,0,0
Gm11418,0,0,0,0,0,0,0,0,0
5530401A14Rik,0,0,0,0,0,0,0,0,0
Ccl2,31,21,67,115,156,102,21,15,10
Ccl7,4,1,3,21,13,7,1,1,0
Ccl11,0,0,0,0,0,0,0,0,0
Ccl12,2,1,8,1,7,7,2,3,0
Ccl8,0,0,0,0,1,0,2,1,0
Ccl1,3,0,0,0,0,0,0,0,0
Tmem132e,0,0,2,1,0,0,0,1,0
Gm11426,0,0,0,0,0,0,0,0,0
Cct6b,3,2,0,3,8,4,1,0,2
Zfp830,158,162,161,174,195,166,130,77,137
Gm11423,12,3,12,7,10,5,3,3,5
Lig3,494,469,340,232,328,416,297,234,285
Rffl,485,383,573,347,826,752,292,263,418
Rad51d,328,266,226,202,266,268,223,143,285
Fndc8,2,0,2,2,0,2,0,0,1
Nle1,136,118,211,68,166,209,91,59,98
Unc45b,0,1,2,1,1,0,0,0,0
Unc45bos,0,0,0,0,0,0,0,0,0
Slfn5os,2,3,0,0,1,1,0,0,1
Slfn5,33,52,44,21,12,30,20,19,44
Slfn9,663,648,62,72,63,61,109,73,155
Mir7679,4,0,1,0,0,0,0,0,0
Slfn8,94,106,102,44,73,97,38,24,54
Slfn10-ps,24,48,82,10,23,49,7,7,14
Slfn2,1818,2022,3153,2012,3058,2944,1607,1220,1645
Slfn1,11,8,10,12,8,11,13,14,22
Slfn4,103,109,139,77,168,107,51,35,72
Slfn3,93,101,22,13,22,35,16,15,30
AI662270,1171,1084,532,551,628,632,629,528,697
Slfn14,0,0,0,0,0,0,0,0,0
AA465934,6,6,0,1,1,3,2,2,4
AI450353,13,8,5,8,8,0,5,4,9
Snord7,0,0,0,0,0,0,0,0,0
Pex12,107,81,95,54,98,111,85,73,86
Ap2b1,3130,2868,2292,1989,2742,2899,2058,1671,2482
Rasl10b,0,2,3,0,5,0,0,5,0
Gas2l2,1,0,0,1,0,2,0,0,0
1700020L24Rik,18,12,8,13,27,19,13,4,10
Mmp28,10,3,8,3,9,9,6,8,8
Taf15,1510,1434,646,682,916,830,712,523,870
Heatr9,0,1,0,0,1,0,1,0,2
Ccl5,13,16,9,6,19,10,20,17,8
Ccl9,751,412,1489,1251,1193,1588,301,320,321
E230016K23Rik,21,21,56,62,68,59,83,63,64
Ccl6,45757,43672,39134,35817,44959,51419,28590,24662,31023
Ccl3,139,121,380,560,983,659,82,107,72
Ccl4,10,7,27,21,37,24,7,7,3
Wfdc17,366,390,88,91,78,67,73,62,74
Wfdc18,2,6,1,0,0,1,2,0,0
Wfdc21,1340,1402,314,449,414,428,530,520,531
Heatr6,683,607,464,358,467,467,470,334,579
Hnf1b,0,1,0,0,0,0,0,0,0
Ddx52,511,442,411,328,491,420,288,220,310
Synrg,992,889,572,527,681,722,596,551,754
Dusp14,0,0,1,2,0,0,0,0,0
Tada2a,148,136,92,53,71,87,62,47,73
Gm11437,0,0,0,0,0,0,0,0,0
Acaca,569,595,359,253,277,371,264,185,316
Aatf,289,292,270,164,221,278,183,144,209
Lhx1,0,0,2,0,0,0,0,0,0
Lhx1os,0,0,0,1,0,0,0,1,0
1700109G15Rik,0,0,0,0,0,0,0,0,0
Mrm1,198,177,144,101,132,174,112,95,173
Dhrs11,111,113,79,93,101,78,71,58,91
4930502E09Rik,1,1,2,1,3,6,0,2,2
Ggnbp2,1713,1535,1788,1469,2207,2041,1140,943,1297
Ggnbp2os,71,48,63,37,78,70,30,20,60
Pigw,90,94,65,41,47,80,67,36,71
Myo19,230,253,168,111,109,204,109,87,123
Znhit3,156,125,121,64,80,114,50,50,62
Car4,10309,12909,4548,2896,3407,4972,3585,2354,3595
Usp32,1001,860,719,790,988,958,726,680,998
1700125H20Rik,0,0,0,0,0,0,0,0,0
Appbp2,351,296,255,290,412,357,185,163,209
Appbp2os,9,6,3,1,1,6,3,2,4
Ppm1d,391,355,166,116,155,190,189,196,205
Bcas3,332,234,316,300,397,415,240,219,279
Bcas3os1,5,2,2,8,1,3,2,3,2
Mir5110,0,0,0,0,0,1,0,0,0
Bcas3os2,0,0,0,1,0,0,0,0,0
2610027K06Rik,26,21,29,26,28,28,28,17,30
Tbx2,11,4,10,15,20,16,11,8,8
Tbx4,0,2,2,0,7,0,0,1,2
Gm20759,0,0,0,0,0,0,0,0,0
Brip1,607,634,37,50,44,59,95,67,105
Brip1os,1872,1909,494,489,612,591,629,467,726
Ints2,408,456,206,150,147,216,194,154,217
Med13,1279,1158,1102,1011,1480,1407,992,893,1110
Rnft1,821,671,732,723,977,939,738,564,811
Rps6kb1,756,722,693,471,721,865,446,391,553
Tubd1,138,132,33,45,29,42,61,64,68
Vmp1,1014,1014,837,615,752,807,673,626,807
Mir21a,0,0,0,0,0,0,0,0,0
Gm11478,14,17,18,11,28,17,10,9,12
Ptrh2,216,203,122,107,96,120,103,98,123
Cltc,8607,7856,7628,5675,8537,8542,4945,4280,5846
Dhx40,745,585,430,531,740,506,619,523,740
Gm51288,0,0,0,0,0,0,0,0,0
Ypel2,89,46,23,94,114,58,105,115,136
Gdpd1,76,68,68,89,91,79,51,67,80
Smg8,349,313,278,253,301,351,276,215,289
Prr11,768,651,110,98,86,100,148,113,151
Ska2,247,262,21,20,19,22,49,42,48
Mir301,0,0,0,0,0,0,0,0,1
Trim37,944,951,319,298,378,306,362,267,390
Ppm1e,14,6,15,9,7,15,10,4,6
Rad51c,87,108,6,19,24,21,25,7,9
Tex14,25,14,10,11,32,20,15,11,19
Rnu1a1,5,1,1,0,3,1,0,0,1
Rnu3b1,0,0,0,0,0,0,0,0,0
Rnu3b3,0,0,0,0,0,0,0,0,0
Rnu3b2,0,0,0,0,0,0,0,0,0
Rnu3b4,0,0,0,0,1,0,0,0,0
Gm34000,0,0,0,0,0,0,1,0,0
Septin4,1,4,13,7,7,0,3,23,1
Mtmr4,481,585,148,196,198,196,251,231,331
Hsf5,0,0,3,1,0,0,0,0,1
Rnf43,3,1,0,1,3,2,0,1,0
1110028F11Rik,0,0,1,0,0,0,0,0,0
Supt4a,396,309,199,261,372,240,265,230,334
Mir142b,15,15,34,35,12,20,29,11,23
Mir142,8,5,20,18,16,10,9,13,17
Tspoap1,212,216,84,76,65,78,31,25,47
Mpo,0,0,0,2,0,0,0,0,0
Lpo,0,0,0,0,1,0,1,1,0
Mks1,114,109,73,75,103,94,78,69,100
Epx,2,2,0,0,0,1,1,0,0
Olfr462,0,0,0,0,0,0,0,0,0
Olfr463,0,0,0,0,0,0,0,0,0
Olfr464,0,0,0,0,0,0,0,0,0
Dynll2,1169,1103,461,421,522,500,424,353,491
Srsf1,3278,3205,1391,1269,1245,1513,1602,1169,1689
Vezf1,544,425,356,363,518,483,370,289,465
2210416O15Rik,0,0,0,2,0,0,0,0,0
Cuedc1,4,2,6,3,3,5,4,3,8
Mrps23,544,501,332,289,410,400,276,220,328
Ccdc182,0,0,0,0,0,0,0,0,0
Msi2,4,9,22,15,18,19,13,9,4
Mir378b,0,0,0,0,0,0,0,0,0
0610039H22Rik,0,0,1,0,0,0,0,0,0
C030037D09Rik,0,0,3,0,0,0,0,0,0
Akap1,131,100,151,78,112,145,71,73,66
4930556N13Rik,0,1,1,0,1,1,0,0,1
Scpep1os,84,102,55,69,77,94,57,40,49
Scpep1,1541,1432,883,797,1147,1121,645,669,901
Elobl,0,0,0,0,0,0,0,0,0
2210409E12Rik,0,0,0,0,0,0,0,0,0
Coil,129,103,91,61,122,116,83,59,82
Trim25,2688,1879,2869,3870,7068,4906,1936,1739,2618
Dgke,393,284,368,342,570,496,311,215,359
Dgkeos,0,0,0,0,2,0,0,1,0
Gm525,0,0,0,0,0,0,0,1,0
Nog,0,0,1,0,0,0,0,0,0
Ankfn1,0,0,0,0,0,0,0,0,0
Pctp,433,413,197,117,175,171,190,138,235
Tmem100,3,0,6,3,2,2,8,4,11
Mmd,1417,1146,685,878,1057,819,975,943,1095
Hlf,0,0,3,0,7,1,1,2,2
Stxbp4,30,33,5,15,12,8,23,19,24
Cox11,101,93,86,42,75,87,46,39,46
Tom1l1,6,10,6,6,6,8,6,3,10
Gm34938,0,0,0,0,0,0,0,0,0
4930405D11Rik,0,0,0,0,0,0,0,0,0
Kif2b,0,0,0,0,0,0,0,0,0
Car10,0,0,5,2,0,0,1,4,0
Utp18,501,550,464,286,402,578,341,236,331
Mbtd1,297,212,273,267,403,335,282,238,331
Nme2,3122,3315,1397,1251,1701,1723,1378,1137,1553
Nme1,1393,1476,638,471,729,620,518,436,577
Spag9,2596,2177,3168,2303,3856,3623,1993,1667,2505
B230206L02Rik,3,0,3,2,0,2,0,3,1
Tob1,1411,1050,1183,1313,2790,1915,1276,1092,1437
Wfikkn2,0,0,0,0,0,0,1,0,1
Gm21885,3,3,4,2,5,6,1,1,8
Luc7l3,1196,1157,624,553,587,693,799,644,852
Ankrd40,838,770,662,438,653,819,491,367,581
Abcc3,9,7,4,10,12,8,6,7,3
Gm51871,2,0,1,0,0,0,1,2,0
Cacna1g,0,0,3,3,0,0,1,2,1
Spata20,0,0,0,0,0,0,0,0,0
Epn3,0,0,0,0,0,0,1,0,2
Mycbpap,6,7,6,2,4,6,4,2,2
Rsad1,73,64,101,34,56,103,58,35,62
Acsf2,417,334,187,203,270,290,192,158,287
Chad,12,12,5,2,6,7,5,3,3
Lrrc59,4121,4135,3069,2077,3063,3501,1478,1137,1682
Eme1,333,332,145,86,137,139,82,70,82
Mrpl27,217,214,108,110,105,117,89,96,107
Xylt2,199,160,139,123,144,165,95,96,142
Gm11541,0,0,0,0,0,0,0,0,0
Gm11545,50,67,51,48,47,45,70,72,82
Tmem92,0,0,0,0,0,0,0,0,0
AA623943,0,0,0,0,0,0,0,0,0
Gm11544,0,0,0,0,1,0,0,0,0
Col1a1,0,0,1,0,5,3,0,4,1
Sgca,0,0,0,0,0,0,1,1,0
Hils1,0,0,0,0,0,0,0,0,0
Ppp1r9b,3442,2911,2434,2210,2712,3171,2693,2033,3391
Samd14,10,14,3,12,11,4,6,10,5
Pdk2,239,170,107,167,191,142,162,155,207
Itga3,9,13,12,6,12,8,4,4,5
Dlx3,0,0,0,0,0,0,0,0,0
Dlx4,0,0,0,0,0,0,0,0,0
Dlx4os,0,0,0,0,0,0,0,0,0
Tac4,1,0,2,1,2,2,1,1,2
Kat7,1328,1209,767,810,1052,947,701,498,740
Gm11520,4,2,1,2,0,0,0,0,4
Fam117a,0,3,10,8,11,7,12,7,8
Slc35b1,677,812,537,473,593,515,374,291,440
Spop,1706,1533,935,1093,1476,1262,1149,921,1371
Nxph3,0,0,0,1,0,1,0,2,0
Ngfr,0,3,0,0,0,0,4,1,1
Phb,268,322,149,128,187,195,125,91,148
Zfp652os,2,2,3,1,0,3,3,2,0
B130006D01Rik,8,1,9,6,5,5,5,7,11
Zfp652,181,143,128,104,157,161,122,91,160
Gm38958,1,1,1,3,3,7,2,0,2
Phospho1,465,368,343,191,214,414,185,148,212
Abi3,796,600,720,409,389,834,335,296,393
Gngt2,1163,907,973,672,782,972,566,521,662
4833417C18Rik,18,8,8,10,10,4,8,10,15
B4galnt2,47,29,21,6,10,35,23,18,36
Igf2bp1,0,0,1,0,0,0,1,0,0
Mir3063,0,0,0,0,0,0,0,0,0
Gip,0,0,0,0,0,0,0,0,0
Snf8,584,534,428,311,452,466,341,263,361
Ube2z,1694,1481,1334,1176,1464,1552,1069,875,1277
Atp5g1,637,597,333,214,313,353,247,189,299
Calcoco2,0,0,0,0,0,0,0,0,0
Ttll6,0,0,0,0,0,0,0,0,0
Hoxb13,0,0,0,0,0,0,0,0,0
Gm11538,0,0,0,0,0,0,0,0,0
Gm53,0,0,0,0,0,0,0,0,0
Mir196a-1,0,0,0,0,0,0,0,0,0
Hoxb9,0,0,0,0,0,0,0,0,0
Hoxb8,0,0,0,0,0,0,0,0,0
Hoxb7,0,0,0,0,0,0,0,0,0
Hoxb5os,0,0,0,0,0,0,0,0,0
Hoxb6,0,0,0,0,0,0,0,0,0
Hoxb5,0,0,0,1,0,0,0,1,1
Mir10a,0,0,0,0,0,0,0,0,0
Hoxb4,0,4,0,1,0,4,2,1,2
Hoxb3,0,0,0,0,0,0,0,2,0
Hoxb3os,0,0,0,0,0,0,0,0,0
Hoxb2,0,0,0,0,0,1,0,1,0
Hoxb1,0,0,0,0,0,0,0,0,0
Gm11529,0,0,0,0,0,0,0,0,0
Skap1,4,2,6,9,12,4,2,4,8
Snx11,446,375,485,198,370,493,270,189,354
Cbx1,706,707,307,267,338,340,355,244,414
Gm11517,2,5,9,3,12,12,5,4,7
Nfe2l1,3038,2685,1967,1963,2526,2514,2006,1794,2561
Copz2,69,71,34,33,34,23,42,32,39
Mir152,0,0,0,0,0,0,0,0,0
Cdk5rap3,634,543,384,320,428,405,381,315,454
Prr15l,0,1,2,0,3,1,0,1,0
Pnpo,592,511,418,421,563,536,428,318,447
D030028A08Rik,86,57,48,27,24,49,51,29,63
Sp2,419,360,254,226,274,246,267,186,300
Sp6,2,4,0,0,0,0,1,2,6
Gm11532,1,4,6,5,0,3,1,0,4
Scrn2,55,73,33,7,19,16,18,10,36
Lrrc46,3,0,1,0,2,0,0,1,3
Mrpl10,677,550,351,338,377,425,348,270,335
Osbpl7,355,304,285,154,231,309,166,122,288
Mir8103,0,1,3,2,0,3,2,0,2
Tbx21,0,0,3,0,1,0,8,7,7
Tbkbp1,688,514,467,441,481,497,444,339,606
Mir7235,0,0,0,0,0,0,0,0,0
Kpnb1,5412,5291,2016,1648,2095,2401,1866,1428,2213
Npepps,1548,1453,1078,1038,1523,1439,1168,903,1355
Mrpl45,441,443,244,207,249,236,190,120,230
Gpr179,0,2,0,1,4,1,1,0,0
Socs7,457,374,301,417,622,476,328,249,357
Arhgap23,392,355,433,292,471,540,287,206,290
4933428G20Rik,36,33,48,21,62,52,36,31,29
Srcin1,2,0,7,3,2,1,0,9,0
2410003L11Rik,5,13,3,2,2,0,2,0,0
Epop,123,130,70,60,95,138,25,25,36
Mllt6,514,369,1033,572,1031,1378,473,383,574
Mir6927,0,0,0,0,0,0,0,0,0
Cisd3,55,50,16,20,33,22,28,19,30
Pcgf2,90,71,85,58,82,97,55,56,61
Psmb3,850,848,496,347,548,491,383,324,413
Pip4k2b,817,708,570,483,549,724,506,476,693
Mir8102,0,0,0,0,0,0,0,0,0
Cwc25,342,347,302,275,421,373,200,186,232
1700001P01Rik,0,0,0,1,4,0,0,0,0
Rpl23,3246,2780,2220,2145,3077,2771,2124,1874,2494
Snora21,1,1,4,2,2,4,1,4,2
Lasp1,4278,3898,2166,1518,1993,2536,1451,1155,1752
B230217C12Rik,8,13,0,2,4,4,2,3,3
Fbxo47,6,4,1,3,3,3,3,0,2
Plxdc1,181,102,355,237,339,351,244,175,252
Arl5c,10,8,6,7,14,12,16,6,10
Cacnb1,1,6,10,11,10,5,13,9,9
Rpl19,2674,2659,1759,1448,2181,2017,1494,1200,1600
Stac2,57,52,143,106,160,172,85,100,119
Fbxl20,822,514,525,935,1329,692,999,883,1257
Med1,962,923,782,576,833,960,592,439,715
Cdk12,790,736,694,621,1001,873,558,465,803
Mir5119,0,2,2,0,2,5,1,0,1
Neurod2,0,0,3,2,0,0,0,3,0
Ppp1r1b,0,0,1,1,0,0,0,3,0
1700003D09Rik,0,0,1,1,0,0,0,1,0
Stard3,724,609,489,457,657,569,506,401,691
Tcap,1,5,1,2,1,2,0,1,2
Pnmt,0,0,0,0,0,0,0,0,0
Pgap3,100,69,66,56,74,84,65,46,67
Erbb2,28,18,20,30,36,34,23,19,37
Mien1,565,558,335,293,378,405,309,250,364
Grb7,270,145,74,57,85,83,136,97,173
Ikzf3,3,3,30,17,17,16,33,11,26
Zpbp2,0,0,0,0,0,0,0,0,0
Ormdl3,252,197,206,188,251,231,198,167,248
Lrrc3c,0,0,0,0,0,0,0,0,0
Gsdma3,0,0,0,0,0,0,0,0,0
Gsdma2,0,0,0,0,0,0,0,0,0
Gsdma,0,0,0,0,0,0,0,0,0
Psmd3,1694,1669,1205,735,1175,1395,714,574,808
Csf3,0,0,0,1,3,0,0,0,0
Med24,665,592,384,335,440,463,371,262,444
Thra,276,157,200,243,387,309,228,197,262
Nr1d1,134,86,176,255,380,259,111,105,136
Msl1,1991,1685,1093,1107,1597,1427,1546,1212,1876
Gm12359,148,135,106,108,140,131,137,74,178
Casc3,865,749,696,546,846,829,707,514,829
Rapgefl1,6,11,8,9,16,8,9,8,10
Wipf2,491,370,404,395,554,536,415,300,529
Cdc6,514,580,30,36,42,28,72,41,81
Rara,1816,1307,2543,1769,2658,3070,2269,1715,2739
Gjd3,1,1,1,0,1,4,0,0,0
Top2a,7835,7388,759,833,778,783,1044,730,1227
Igfbp4,10,8,11,5,10,6,9,6,8
Tns4,40,14,65,53,61,72,35,28,29
Ccr7,64,126,34,33,52,30,32,20,29
Gm32249,4,11,4,2,1,5,8,4,11
Smarce1,426,373,320,303,394,361,252,204,338
Krt222,2,0,1,0,0,0,0,6,0
Krt24,0,0,0,0,0,0,0,0,0
Krt25,0,0,0,0,0,0,0,0,0
Krt26,0,0,0,0,0,0,0,0,0
Krt27,0,0,0,0,0,0,0,0,0
Krt28,0,0,0,0,0,0,0,0,0
Krt10,5,6,2,6,1,6,7,4,4
Krt12,0,0,0,0,0,0,0,0,0
A830036E02Rik,0,0,0,0,0,0,0,0,0
Krt20,0,0,0,0,0,0,0,0,0
Krt23,0,0,0,0,1,0,0,0,0
Krt39,0,0,0,0,0,0,0,0,0
Krt40,0,0,0,0,0,0,0,0,0
Krtap3-3,0,0,0,0,0,0,0,0,0
Krtap3-2,0,0,0,0,0,0,0,0,0
Krtap3-1,0,0,0,0,0,0,0,0,0
Krtap1-5,0,0,0,0,0,0,0,0,0
Krtap1-4,0,0,0,0,0,0,0,0,0
Krtap1-3,0,0,0,0,0,0,0,0,0
Krtap9-3,0,0,0,0,0,0,0,0,0
Gm11938,0,0,0,0,0,0,0,0,0
